Comarca;Unidade;Analistas Secretaria;Técnicos Secretaria;Analistas e Técnicos Secretaria;Lotacao Real
CURITIBA;Vara de Registros Públicos e Corregedoria do Foro Extrajudicial;1;5;1;7
CURITIBA;3ª Vara Cível;1;6;0;7
CURITIBA;23ª Vara Cível;1;5;1;7
CURITIBA;3º Juizado de Violência Doméstica e Familiar contra a Mulher – Casa da Mulher Brasileira;1;9;1;11
CURITIBA;Secretaria Unificada das 1ª e 2ª Varas Descentralizadas da Cidade Industrial;1;10;2;13
CURITIBA;Secretaria Unificada das 1ª e 2ª Varas Descentralizadas do Pinheirinho;1;11;1;13
CURITIBA;1º Juizado Especial Cível – Matéria Bancária;0;5;1;6
CURITIBA;18ª Vara Cível;1;7;0;8
CURITIBA;6ª Vara de Família;0;4;1;5
CURITIBA;7ª Vara de Família;1;3;1;5
CURITIBA;8ª Vara Criminal;0;4;1;5
CURITIBA;10ª Vara Criminal;0;5;0;5
CURITIBA;13º Juizado Especial Cível e Criminal;1;3;1;5
CURITIBA;Juizado Especial PUC - Cajuru;0;5;0;5
CURITIBA;12ª Vara Cível;4;4;0;8
CURITIBA;Vara da Auditoria da Justiça Militar;1;1;1;3
CURITIBA;2ª Vara Privativa do Tribunal do Júri;0;5;0;5
CURITIBA;3ª Vara Criminal;0;4;1;5
CURITIBA;4ª Vara Criminal;0;4;1;5
CURITIBA;6º Juizado Especial Cível e Criminal;1;3;1;5
CURITIBA;7ª Vara Criminal;0;4;1;5
CURITIBA;13ª Vara Criminal;0;4;1;5
CURITIBA;2ª Vara de Sucessões;0;5;1;6
CURITIBA;Vara de Adolescentes em Conflito com a Lei;0;6;0;6
CURITIBA;Secretaria Unificada das 1ª e 2ª Varas Descentralizadas de Santa Felicidade;1;13;0;14
CURITIBA;Secretaria Unificada das 1ª e 2ª Varas Descentralizadas do Boqueirão;0;14;0;14
CURITIBA;10ª Vara Cível;1;8;0;9
CURITIBA;15ª Vara Cível;1;7;1;9
CURITIBA;1ª Vara de Sucessões;2;4;1;7
CURITIBA;Secretaria Unificada das 1ª e 2ª Varas Descentralizadas do Bairro Novo (Sítio Cercado);0;13;0;13
CURITIBA;5ª Vara de Família;1;4;1;6
CURITIBA;11º Juizado Especial Cível e Criminal;0;6;0;6
CURITIBA;14º Juizado Especial Cível e Criminal;1;4;1;6
CURITIBA;1ª Vara Criminal;1;4;1;6
CURITIBA;2ª Vara Criminal;1;5;0;6
CURITIBA;8º Juizado Especial Cível e Criminal;1;4;1;6
CURITIBA;12ª Vara Criminal;0;5;1;6
CURITIBA;5º Juizado Especial Cível e Criminal;0;6;1;7
CURITIBA;1ª Vara de Família;3;5;1;9
CURIÚVA;Juízo Único - Crime e Anexos e Juizados Especiais;2;2;1;5
DOIS VIZINHOS;Vara Criminal, Família e Sucessões, Infância e Juventude e Juizado Especial Cível, Criminal e da Fazenda Pública;0;4;1;5
ENGENHEIRO BELTRÃO;Juízo Único - Crime e Anexos e Juizados Especiais;1;1;1;3
FAXINAL;Juízo Único - Crime e Anexos e Juizados Especiais;0;4;1;5
FAZENDA RIO GRANDE;Vara Criminal;0;3;0;3
FAZENDA RIO GRANDE;Vara de Família e Sucessões, Infância e Juventude, Registros Públicos e Corregedoria do Foro Extrajudicial;1;4;0;5
FAZENDA RIO GRANDE;Juizado Especial Cível, Criminal e da Fazenda Pública;1;3;0;4
FORMOSA DO OESTE;Juízo Único - Crime e Anexos e Juizados Especiais;2;2;0;4
FOZ DO IGUAÇU;Vara de Execuções Penais e Corregedoria dos Presídios;1;5;0;6
FOZ DO IGUAÇU;2ª Vara da Fazenda Pública;1;3;1;5
FOZ DO IGUAÇU;3ª Vara Criminal;0;5;0;5
FOZ DO IGUAÇU;3º Juizado Especial Cível, Criminal e da Fazenda Pública;1;4;0;5
FOZ DO IGUAÇU;Juizado de Violência Doméstica e Familiar contra a Mulher, Vara de Crimes contra Crianças, Adolescentes e Idosos;1;8;0;9
FOZ DO IGUAÇU;2ª Vara de Família e Sucessões e Acidentes do Trabalho;0;6;1;7
FOZ DO IGUAÇU;2º Juizado Especial Cível, Criminal e da Fazenda Pública;1;5;0;6
FOZ DO IGUAÇU;1ª Vara Criminal;1;5;0;6
FOZ DO IGUAÇU;1ª Vara da Fazenda Pública;1;5;0;6
FOZ DO IGUAÇU;1º Juizado Especial Cível, Criminal e da Fazenda Pública;1;4;1;6
FOZ DO IGUAÇU;2ª Vara Criminal;1;5;0;6
FOZ DO IGUAÇU;Vara da Infância e Juventude;1;5;0;6
FRANCISCO BELTRÃO;Vara de Família e Sucessões, Infância e Juventude, Acidentes do Trabalho, Registros Públicos e Corregedoria do Foro Extrajudicial;1;2;0;3
FRANCISCO BELTRÃO;Vara Criminal;1;6;0;7
FRANCISCO BELTRÃO;1ª Vara Cível e da Fazenda Pública;0;5;0;5
FRANCISCO BELTRÃO;Vara de Execuções Penais e Corregedoria dos Presídios;0;4;1;5
FRANCISCO BELTRÃO;Juizado Especial Cível, Criminal e da Fazenda Pública;1;6;1;8
FRANCISCO BELTRÃO;Distribuidor, Contador, Partidor, Avaliador e Depositário Público;0;0;0;0
GOIOERÊ;Vara Criminal, Família e Sucessões, Infância e Juventude e Juizado Especial Criminal;0;3;0;3
GOIOERÊ;Vara Cível, da Fazenda Pública, Acidentes do Trabalho, Registros Públicos e Corregedoria do Foro Extrajudicial, Juizado Especial Cível e Juizado Especial da Fazenda Pública;1;4;0;5
GRANDES RIOS;Juízo Único - Crime e Anexos e Juizados Especiais;1;2;0;3
GUAÍRA;Vara Criminal, Família e Sucessões, Infância e Juventude e Juizado Especial Criminal;1;5;0;6
GUAÍRA;Vara Cível, da Fazenda Pública, Acidentes do Trabalho, Registros Públicos e Corregedoria do Foro Extrajudicial, Juizado Especial Cível e Juizado Especial da Fazenda Pública;1;7;0;8
GUARANIAÇU;Juízo Único;1;5;0;6
GUARAPUAVA;3ª Vara Criminal;1;4;0;5
GUARAPUAVA;1ª Vara Criminal;1;5;0;6
GUARAPUAVA;Vara de Família e Sucessões, Acidentes do Trabalho, Registros Públicos e Corregedoria do Foro Extrajudicial;2;6;0;8
GUARAPUAVA;2ª Vara Criminal;1;4;0;5
GUARAPUAVA;Vara da Infância e Juventude;0;4;1;5
GUARAPUAVA;Vara de Execuções Penais e Corregedoria dos Presídios;2;3;0;5
GUARAPUAVA;1º Juizado Especial Cível, Criminal e da Fazenda Pública;1;5;0;6
